prefix,number_of_sites,backing_prefix
2400:4840::/48,4,2400:4840::/48
2400:52e0:1::/48,3,2400:52e0:1::/48
2400:52e0:fff0::/48,20,2400:52e0:fff0::/48
2400:52e0:fff1::/48,17,2400:52e0:fff1::/48
2400:8280::/48,3,2400:8280::/32
2400:8800:f000::/48,2,2400:8800:e000::/35
2400:bb40:4444::/48,3,2400:bb40:4444::/48
2400:bb40:8888::/48,5,2400:bb40:8888::/48
2400:c540:53::/48,2,2400:c540:53::/48
2400:cb00:2049::/48,29,2400:cb00:2049::/48
2400:cb00:f00e::/48,29,2400:cb00:f00e::/48
2401:8d00:14::/48,2,2401:8d00:14::/48
2401:8d00:2::/48,3,2401:8d00:2::/48
2401:b180:4100::/48,3,2401:b180:4100::/48
2401:fd80:400::/48,2,2401:fd80:400::/48
2401:fd80:401::/48,2,2401:fd80:401::/48
2401:fd80:402::/48,2,2401:fd80:402::/48
2401:fd80:403::/48,3,2401:fd80:403::/48
2401:fd80:404::/48,3,2401:fd80:404::/48
2401:fd80:405::/48,3,2401:fd80:405::/48
2401:fd80:406::/48,3,2401:fd80:406::/48
2401:fd80:407::/48,3,2401:fd80:407::/48
2402:7d80:8888::/48,2,2402:7d80:8888::/48
2402:cf80:100::/48,12,2402:cf80:100::/44
2402:cf80:107::/48,12,2402:cf80:100::/44
2404:5580::/48,2,2404:5580::/48
2404:d200:1000::/48,2,2404:d200::/32
2406:2000:1d0::/48,2,2406:2000:1d0::/48
2406:6e00:1::/48,12,2406:6e00:1::/48
2406:840:9960::/48,3,2406:840:9960::/48
2406:840:eb8c::/48,6,2406:840:eb8c::/48
2407:30c0:182::/48,27,2407:30c0:182::/48
2408:4009:500::/48,4,2408:4009:500::/48
2600:1401:1::/48,8,2600:1401:1::/48
2600:1403:11::/48,13,2600:1403:11::/48
2600:1403:a::/48,7,2600:1403:a::/48
2600:1406:1b::/48,5,2600:1406:1b::/48
2600:1406:32::/48,8,2600:1406:32::/48
2600:1408:1c::/48,11,2600:1408:1c::/48
2600:1480:1800::/48,8,2600:1480:1800::/48
2600:1480:1::/48,4,2600:1480:1::/48
2600:1480:2::/48,4,2600:1480:2::/48
2600:1480:4000::/48,10,2600:1480:4000::/40
2600:1480:4800::/48,5,2600:1480:4800::/48
2600:1480:5801::/48,2,2600:1480:5801::/48
